     0.172    -0.764
     0.288    -0.541
     0.146    -0.836
     0.164    -0.785
     0.190    -0.721
     0.191    -0.719
     0.399    -0.399
     0.118    -0.928
     0.236    -0.627
     0.246    -0.609
     0.257    -0.590
     0.148    -0.830
     0.205    -0.688
     0.935    -0.029
     0.503    -0.298
     0.308    -0.511
     0.581    -0.236
     0.409    -0.388
     0.245    -0.611
     0.550    -0.260
     0.639    -0.194
     0.269    -0.570
     0.307    -0.513
     0.206    -0.686
     0.472    -0.326
     0.284    -0.547
     0.627    -0.203
     0.445    -0.352
     0.212    -0.674
     0.337    -0.472
     0.459    -0.338
     0.089    -1.051
     0.206    -0.686
     0.294    -0.532
     0.740    -0.131
     1.606     0.206
     0.213    -0.672
     0.085    -1.071
     0.890    -0.051
     0.371    -0.431
     0.321    -0.493
     0.241    -0.618
     0.263    -0.580
     0.513    -0.290
