     0.440    -0.357
     0.218    -0.662
     0.314    -0.503
     0.274    -0.562
     0.429    -0.368
     0.387    -0.412
     0.277    -0.558
     0.298    -0.526
     0.191    -0.719
     0.154    -0.812
     0.293    -0.533
     0.287    -0.542
     0.231    -0.636
     0.255    -0.593
     0.740    -0.131
     0.288    -0.541
     0.207    -0.684
     0.526    -0.279
     0.566    -0.247
     0.317    -0.499
     0.376    -0.425
     1.704     0.231
     1.016     0.007
     0.264    -0.578
     0.318    -0.498
     0.244    -0.613
     0.237    -0.625
     0.188    -0.726
     0.343    -0.465
     0.173    -0.762
     0.328    -0.484
     0.202    -0.695
     0.210    -0.678
     0.535    -0.272
     0.174    -0.759
     0.296    -0.529
     0.421    -0.376
     0.774    -0.111
     0.493    -0.307
     0.391    -0.408
     0.128    -0.893
     0.098    -1.009
     0.743    -0.129
     0.170    -0.770
     0.262    -0.582
     0.495    -0.305
     0.243    -0.614
     0.389    -0.410
     0.120    -0.921
     0.289    -0.539
     0.244    -0.613
     0.466    -0.332
     0.301    -0.521
     0.274    -0.562
     0.114    -0.943
     0.354    -0.451
     0.519    -0.285
     0.335    -0.475
     0.269    -0.570
     0.287    -0.542
     0.736    -0.133
     0.146    -0.836
     0.166    -0.780
     0.242    -0.616
     0.858    -0.067
     0.316    -0.500
     0.133    -0.876
     0.212    -0.674
     0.416    -0.381
     0.480    -0.319
     0.095    -1.022
     0.264    -0.578
     0.117    -0.932
     0.341    -0.467
     0.346    -0.461
     0.166    -0.780
     0.642    -0.192
     0.264    -0.578
     0.271    -0.567
     0.458    -0.339
     0.241    -0.618
     0.122    -0.914
     5.465     0.738
     4.503     0.654
     0.793    -0.101
     0.200    -0.699
     0.179    -0.747
     0.170    -0.770
     0.155    -0.810
     0.313    -0.504
     0.237    -0.625
     0.261    -0.583
     0.332    -0.479
     0.399    -0.399
     0.373    -0.428
     0.609    -0.215
     0.227    -0.644
     0.264    -0.578
     0.222    -0.654
     0.168    -0.775
     0.164    -0.785
     0.271    -0.567
     0.363    -0.440
     0.238    -0.623
     0.249    -0.604
     0.162    -0.790
     0.111    -0.955
     0.240    -0.620
     0.256    -0.592
     0.253    -0.597
     0.201    -0.697
     0.432    -0.365
     0.280    -0.553
     0.199    -0.701
     0.205    -0.688
     0.357    -0.447
     0.178    -0.750
     0.197    -0.706
     0.521    -0.283
     0.257    -0.590
     0.555    -0.256
     0.426    -0.371
     0.367    -0.435
     0.334    -0.476
     0.346    -0.461
     0.264    -0.578
     0.161    -0.793
     0.284    -0.547
     0.209    -0.680
     0.283    -0.548
     0.451    -0.346
     0.685    -0.164
     0.294    -0.532
     0.216    -0.666
     0.737    -0.133
     0.577    -0.239
     0.500    -0.301
     0.264    -0.578
     0.318    -0.498
     0.226    -0.646
     0.102    -0.991
     0.525    -0.280
     0.191    -0.719
     0.669    -0.175
     0.251    -0.600
     0.408    -0.389
     0.378    -0.423
     0.462    -0.335
     0.317    -0.499
     0.193    -0.714
     0.558    -0.253
     0.070    -1.155
     0.297    -0.527
     0.499    -0.302
     0.284    -0.547
     0.175    -0.757
     0.376    -0.425
     0.724    -0.140
     0.150    -0.824
     0.387    -0.412
     0.558    -0.253
     1.103     0.043
     0.354    -0.451
     0.312    -0.506
     0.221    -0.656
     0.300    -0.523
     0.688    -0.162
     0.218    -0.662
     0.376    -0.425
     0.228    -0.642
     0.261    -0.583
     0.275    -0.561
     0.215    -0.668
     0.291    -0.536
     0.422    -0.375
     0.263    -0.580
     0.405    -0.393
     0.214    -0.670
     0.438    -0.359
     0.324    -0.489
     0.262    -0.582
     0.336    -0.474
     0.357    -0.447
     0.336    -0.474
     0.674    -0.171
     0.482    -0.317
     0.430    -0.367
     0.259    -0.587
     0.384    -0.416
     0.613    -0.213
     0.230    -0.638
     0.234    -0.631
     0.541    -0.267
     0.270    -0.569
     0.473    -0.325
     0.341    -0.467
     0.534    -0.272
     0.224    -0.650
     0.226    -0.646
     0.581    -0.236
     0.291    -0.536
     0.258    -0.588
     0.175    -0.757
     0.165    -0.783
     2.214     0.345
     0.514    -0.289
     0.264    -0.578
     0.307    -0.513
     0.252    -0.599
     0.263    -0.580
     0.338    -0.471
     0.184    -0.735
     0.181    -0.742
     0.135    -0.870
     0.377    -0.424
     0.214    -0.670
     0.363    -0.440
     0.360    -0.444
     0.480    -0.319
     0.354    -0.451
     0.337    -0.472
     0.475    -0.323
     1.345     0.129
